TYPE,PRICE,BATH,PROPERTYSQFT,ADMINISTRATIVE_AREA_LEVEL_2,SUBLOCALITY,LATITUDE,LONGITUDE
Land for sale,3600000,2.5,2201,United States,Kings County,40.6179636,-73.9681702
Land for sale,150000,2.5,2178,United States,Richmond County,40.6170275,-74.0893192
Land for sale,650000,2.5,2192,United States,Queens County,40.759972,-73.9173868
Land for sale,149000,2.5,2186,United States,Richmond County,40.5742632,-74.086609
Land for sale,799999,2.5,2185,United States,Kings County,40.6789582,-73.9203193
Land for sale,265000,2.5,2185,United States,Kings County,40.6743408,-73.9056237
Land for sale,795000,2.5,2182,United States,Bronx County,40.8457524,-73.9059682
Land for sale,1245000,2.5,2203,United States,Bronx County,40.902657,-73.901871
Condo for sale,7495000,4.0,2888,New York,New York,40.7833319,-73.9815796
Townhouse for sale,2850000,4.0,4080,United States,Queens County,40.7639241,-73.9190583
Co-op for sale,215000,2.0,747,United States,Bronx County,40.8233271,-73.8110122
Multi-family home for sale,898000,3.0,2100,United States,Richmond County,40.5586967,-74.1351001
Co-op for sale,275000,1.0,900,New York,The Bronx,40.8554764,-73.8287193
House for sale,599000,2.0,1682,United States,Queens County,40.6747343,-73.8239749
Condo for sale,189000,1.0,730,New York,Staten Island,40.6109595,-74.060351
Multi-family home for sale,678990,3.0,1575,United States,Richmond County,40.6012318,-74.1300175
House for sale,800000,2.0,1824,United States,Kings County,40.608799,-73.9128174
House for sale,849000,2.0,2000,United States,Richmond County,40.5528489,-74.1699382
Pending,675000,2.5,2180,United States,Kings County,40.6428139,-73.9451438
Contingent,489000,1.0,978,United States,Richmond County,40.546573,-74.213449
Co-op for sale,295000,1.0,2180,New York,Queens,40.6633466,-73.8542803
House for sale,999500,2.0,1144,United States,Queens County,40.784332,-73.8045713
Contingent,589000,2.0,2310,United States,Richmond County,40.6426635,-74.1108512
Condo for sale,329000,1.0,850,United States,Richmond County,40.6316141,-74.0858954
House for sale,799000,2.0,1881,United States,Kings County,40.6402886,-73.9463493
House for sale,729000,2.0,1400,United States,Bronx County,40.846624,-73.8520911
Multi-family home for sale,950000,2.0,2207,United States,Queens County,40.7608129,-73.8669195
Townhouse for sale,11000000,2.5,2195,United States,Queens County,40.5704687,-73.8558742
Land for sale,348000,2.5,2193,United States,Richmond County,40.575138,-74.090531
Condo for sale,965000,1.0,540,New York,Brooklyn,40.6903851,-73.9825343
Multi-family home for sale,1095000,4.0,2280,United States,Richmond County,40.5505648,-74.1599018
Condo for sale,2295000,2.0,1242,New York,New York,40.7241501,-74.0080814
Pending,13500000,7.0,2209,United States,New York County,40.7323524,-73.9993358
Co-op for sale,49500,2.5,800,New York,The Bronx,40.8432844,-73.7846028
House for sale,460000,3.0,2256,United States,Kings County,40.641648,-73.9064568
Multi-family home for sale,825000,6.0,2189,United States,Kings County,40.6739463,-73.885344
House for sale,1230250,2.0,1590,United States,Queens County,40.7120962,-73.8518076
House for sale,799999,2.0,1344,United States,Kings County,40.6099147,-73.9287144
Multi-family home for sale,1300000,6.0,4920,United States,Kings County,40.6411388,-73.9478417
Condo for sale,749000,2.0,1300,New York,Queens,40.7874921,-73.7858086
House for sale,875000,2.0,1214,United States,Queens County,40.7565472,-73.7339718
House for sale,599999,2.0,1360,United States,Richmond County,40.613911,-74.133028
House for sale,250000,1.0,1376,United States,Kings County,40.6212165,-73.9324344
House for sale,1675000,5.0,2178,United States,Queens County,40.7169141,-73.7831551
House for sale,950000,2.0,1748,United States,Queens County,40.7188985,-73.8587988
Co-op for sale,449500,1.0,2193,United States,New York County,40.7278952,-73.9998294
Pending,184888,1.0,500,New York,Queens,40.7343409,-73.859014
Co-op for sale,209000,1.0,1078,New York,The Bronx,40.8915963,-73.8989828
Co-op for sale,280000,2.0,1100,New York,The Bronx,40.8409736,-73.8456248
House for sale,625000,2.0,2189,United States,Queens County,40.6765364,-73.8351774
Co-op for sale,275000,1.0,2179,New York,New York,40.7772579,-73.9476695
House for sale,1300000,4.0,2112,United States,Queens County,40.7645123,-73.7595302
Multi-family home for sale,995000,2.0,2288,United States,Richmond County,40.5501403,-74.1810379
